Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home game,height diversity,ethnic diversity,region diversity,class diversity,school diversity,degree diversity,experience with opponent,experience in arena,conference size,conf_wl,opp_games_played,opponent win:loss
11,brown,2007,Hartford,0,13,95,82,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,10,9,0.583,28,0.464
12,brown,2007,Western Illinois,0,4,63,59,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,2,0,0,28,0.25
13,brown,2007,Texas A&amp;M-Corpus Christi,0,-14,57,71,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,2,11,0.64,0,0
14,brown,2007,UC-Davis,0,-2,47,49,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,4,0.596,0,0
15,brown,2007,Southern Methodist,0,-4,56,60,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,12,0.642,29,0.448
16,brown,2007,Yale,1,-14,42,56,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,29,0.517
17,brown,2007,Yale,1,5,76,71,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,29,0.517
18,brown,2007,Dartmouth,1,-4,52,56,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.222
19,brown,2007,Harvard,1,-4,88,92,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.481
20,brown,2007,Pennsylvania,1,-16,61,77,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,29,0.69
21,brown,2007,Princeton,1,15,63,48,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.444
22,brown,2007,Cornell,1,-2,59,61,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,28,0.464
23,brown,2007,Columbia,1,-9,68,77,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.407
24,brown,2007,Harvard,1,4,70,66,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.481
25,brown,2007,Dartmouth,1,20,53,33,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.222
26,brown,2007,Columbia,1,5,64,59,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.407
27,brown,2007,Cornell,1,-12,67,79,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,28,0.464
28,brown,2007,Princeton,1,9,64,55,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.444
29,brown,2007,Pennsylvania,1,-3,64,67,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,29,0.69
1,brown,2008,Eastern Michigan,0,19,74,55,0,0.18,0.66,0.64,0.64,0.42,0.58,1,2,12,0.642,32,0.406
2,brown,2008,Michigan,0,-15,57,72,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,11,0.64,35,0.629
3,brown,2008,Rhode Island,0,-14,61,75,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,14,0.631,33,0.576
4,brown,2008,Northwestern,0,6,73,67,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,11,0.64,31,0.419
5,brown,2008,Wagner,0,-1,63,64,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,11,0.64,30,0.367
6,brown,2008,UC-Davis,0,16,73,57,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,9,0.583,0,0
7,brown,2008,Quinnipiac,0,7,86,79,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,11,0.64,29,0.483
8,brown,2008,New Hampshire,0,16,68,52,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,9,0.583,30,0.333
9,brown,2008,Providence,0,-19,51,70,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,16,0.626,31,0.581
10,brown,2008,Hartford,0,18,79,61,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,9,0.583,31,0.419
11,brown,2008,Notre Dame,0,-33,54,87,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,16,0.626,32,0.75
12,brown,2008,Army,0,1,79,78,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,8,0.6,31,0.484
13,brown,2008,American,0,13,68,55,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,8,0.6,30,0.533
14,brown,2008,Baylor,0,-10,62,72,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,12,0.642,31,0.484
15,brown,2008,Yale,1,-3,63,66,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,27,0.519
16,brown,2008,Yale,1,9,77,68,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,27,0.519
17,brown,2008,Cornell,1,-11,64,75,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.571
18,brown,2008,Columbia,1,5,68,63,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.571
19,brown,2008,Dartmouth,1,26,77,51,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,27,0.333
20,brown,2008,Harvard,1,20,71,51,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.429
21,brown,2008,Pennsylvania,1,5,66,61,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,31,0.71
22,brown,2008,Princeton,1,2,65,63,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.393
23,brown,2008,Columbia,1,15,67,52,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.571
24,brown,2008,Cornell,1,-9,65,74,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.571
25,brown,2008,Princeton,1,7,64,57,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.393
26,brown,2008,Pennsylvania,1,32,75,43,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,31,0.71
27,brown,2008,Harvard,1,16,78,62,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.429
28,brown,2008,Dartmouth,1,4,75,71,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,27,0.333
29,brown,2008,Ohio,0,-6,74,80,0,0.18,0.66,0.64,0.64,0.42,0.58,1,2,12,0.642,32,0.594
1,brown,2009,Rhode Island,0,-2,74,76,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,14,0.631,33,0.636
2,brown,2009,George Mason,0,-37,52,89,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,12,0.642,34,0.676
3,brown,2009,Holy Cross,0,5,62,57,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,8,0.6,29,0.517
4,brown,2009,Northwestern,0,-9,64,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,11,0.64,30,0.267
5,brown,2009,Army,0,7,80,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,8,0.6,30,0.467
6,brown,2009,Eastern Michigan,0,2,53,51,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,12,0.642,31,0.452
7,brown,2009,Providence,0,-24,62,86,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,16,0.626,31,0.484
8,brown,2009,New Hampshire,0,-3,61,64,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,9,0.583,29,0.31
9,brown,2009,Hartford,0,10,72,62,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,9,0.583,34,0.529
10,brown,2009,Wagner,0,-12,66,78,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,11,0.64,31,0.742
11,brown,2009,Quinnipiac,0,16,89,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,11,0.64,30,0.5
12,brown,2009,American,0,-15,53,68,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,8,0.6,33,0.636
13,brown,2009,Virginia,0,-24,50,74,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,12,0.642,33,0.515
14,brown,2009,Bryant,0,13,69,56,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,4,0.596,0,0
15,brown,2009,Yale,1,-8,62,70,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,28,0.464
16,brown,2009,Yale,1,-2,55,57,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,28,0.464
17,brown,2009,Cornell,1,-32,58,90,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,28,0.786
18,brown,2009,Columbia,1,-6,59,65,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,29,0.483
19,brown,2009,Dartmouth,1,-2,61,63,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,28,0.357
20,brown,2009,Harvard,1,-1,63,64,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,30,0.267
21,brown,2009,Pennsylvania,1,-21,52,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,31,0.419
22,brown,2009,Princeton,1,18,61,43,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,29,0.207
23,brown,2009,Columbia,1,-13,57,70,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,29,0.483
24,brown,2009,Cornell,1,-40,45,85,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,28,0.786
25,brown,2009,Princeton,1,-8,48,56,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,29,0.207
26,brown,2009,Pennsylvania,1,-10,54,64,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,31,0.419
27,brown,2009,Harvard,1,2,61,59,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,30,0.267
28,brown,2009,Dartmouth,1,10,69,59,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,28,0.357
1,brown,2010,St. Francis (NY),0,4,68,64,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,30,0.333
2,brown,2010,Virginia Tech,0,-14,55,69,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,12,0.642,34,0.559
3,brown,2010,Rhode Island,0,-21,57,78,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,14,0.631,34,0.676
4,brown,2010,St. John's (NY),0,-3,76,79,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,16,0.626,34,0.471
5,brown,2010,Maine,0,13,75,62,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,9,0.583,30,0.3
6,brown,2010,Bryant,0,2,70,68,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,0,0
7,brown,2010,Sciences,0,21,69,48,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,3,0,0,0,0
8,brown,2010,Siena,0,-20,79,99,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,3,10,0.597,35,0.771
9,brown,2010,Holy Cross,0,-6,79,85,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,8,0.6,32,0.563
10,brown,2010,Minnesota,0,-36,55,91,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,33,0.667
11,brown,2010,Providence,0,-16,62,78,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,16,0.626,33,0.576
12,brown,2010,Kean,0,11,74,63,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,0,0,0,0
13,brown,2010,Sacred Heart,0,-5,78,83,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,31,0.548
14,brown,2010,American,0,-8,68,76,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,8,0.6,32,0.75
15,brown,2010,Wagner,0,1,72,71,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,11,0.64,30,0.533
16,brown,2010,Army,0,-8,51,59,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,8,0.6,30,0.367
17,brown,2010,Quinnipiac,0,-13,75,88,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,31,0.484
18,brown,2010,Yale,1,9,75,66,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,28,0.464
19,brown,2010,Yale,1,-8,63,71,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,28,0.464
20,brown,2010,Princeton,1,-17,46,63,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,27,0.481
21,brown,2010,Pennsylvania,1,-1,54,55,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,28,0.357
22,brown,2010,Columbia,1,-11,54,65,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,28,0.429
23,brown,2010,Cornell,1,-14,60,74,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,31,0.677
24,brown,2010,Dartmouth,1,15,75,60,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,28,0.321
25,brown,2010,Harvard,1,-14,67,81,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,28,0.5
26,brown,2010,Pennsylvania,1,7,80,73,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,3,8,0.6,28,0.357
27,brown,2010,Princeton,1,3,57,54,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,27,0.481
28,brown,2010,Harvard,1,-20,71,91,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,28,0.5
29,brown,2010,Dartmouth,1,19,76,57,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,28,0.321
30,brown,2010,Cornell,1,-19,76,95,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,31,0.677
31,brown,2010,Columbia,1,-9,56,65,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,28,0.429
1,brown,2011,Fordham,0,4,69,65,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,14,0.631,28,0.071
2,brown,2011,Rhode Island,0,-25,67,92,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,14,0.631,36,0.722
3,brown,2011,Sacred Heart,0,14,81,67,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,13,12,0.642,29,0.483
4,brown,2011,St. Francis (NY),0,4,67,63,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,13,12,0.642,29,0.379
5,brown,2011,New Hampshire,0,-4,66,70,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,9,0.583,30,0.433
6,brown,2011,Hartford,0,-12,46,58,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,9,0.583,30,0.267
7,brown,2011,Maine,0,8,62,54,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,9,0.583,30,0.633
8,brown,2011,Providence,0,-27,64,91,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,16,0.626,31,0.387
9,brown,2011,Army,0,-2,86,88,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,13,8,0.6,29,0.483
10,brown,2011,Central Connecticut State,0,-16,51,67,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,12,0.642,30,0.4
11,brown,2011,Bryant,0,13,84,71,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,13,12,0.642,0,0
12,brown,2011,American,0,-10,67,77,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,1,8,0.6,31,0.355
13,brown,2011,Lyndon State,0,33,88,55,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,13,0,0,0,0
14,brown,2011,Yale,1,-5,64,69,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,31,0.387
15,brown,2011,Quinnipiac,0,9,87,78,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,1,13,12,0.642,33,0.697
16,brown,2011,Yale,1,-8,51,59,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,31,0.387
17,brown,2011,Princeton,1,-18,60,78,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,31,0.71
18,brown,2011,Pennsylvania,1,-2,78,80,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,28,0.214
19,brown,2011,Columbia,1,8,87,79,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,28,0.393
20,brown,2011,Cornell,1,-12,79,91,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,34,0.853
21,brown,2011,Dartmouth,1,9,75,66,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,28,0.179
22,brown,2011,Harvard,1,-7,78,85,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,29,0.724
23,brown,2011,Pennsylvania,1,-8,62,70,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,28,0.214
24,brown,2011,Princeton,1,10,75,65,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,31,0.71
25,brown,2011,Harvard,1,-6,68,74,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,29,0.724
26,brown,2011,Dartmouth,1,24,100,76,1,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,13,8,0.6,28,0.179
27,brown,2011,Cornell,1,-9,66,75,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,34,0.853
28,brown,2011,Columbia,1,-17,74,91,0,0,0.6328125,0.7421875,0.4140625,0.4296875,0.6015625,2,1,8,0.6,28,0.393
1,brown,2012,Johnson &amp; Wales (RI),0,20,86,66,0,0,0.72,0.7,0.18,0.42,0.64,1,0,0,0,0,0
2,brown,2012,Albany (NY),0,-9,68,77,0,0,0.72,0.7,0.18,0.42,0.64,1,0,9,0.583,32,0.5
3,brown,2012,Manhattan,0,-2,52,54,0,0,0.72,0.7,0.18,0.42,0.64,1,1,10,0.597,31,0.194
4,brown,2012,Hartford,0,7,59,52,1,0,0.72,0.7,0.18,0.42,0.64,1,14,9,0.583,31,0.355
5,brown,2012,George Mason,0,-26,48,74,0,0,0.72,0.7,0.18,0.42,0.64,1,1,12,0.642,34,0.794
6,brown,2012,Monmouth,0,8,79,71,0,0,0.72,0.7,0.18,0.42,0.64,1,0,12,0.642,30,0.3
7,brown,2012,Sacred Heart,0,-13,64,77,0,0,0.72,0.7,0.18,0.42,0.64,1,1,12,0.642,29,0.379
8,brown,2012,Rhode Island,0,9,65,56,1,0,0.72,0.7,0.18,0.42,0.64,1,14,14,0.631,34,0.588
9,brown,2012,Iowa,0,-21,54,75,0,0,0.72,0.7,0.18,0.42,0.64,1,1,12,0.642,31,0.355
10,brown,2012,Providence,0,-31,49,80,0,0,0.72,0.7,0.18,0.42,0.64,1,1,16,0.626,32,0.469
11,brown,2012,New Hampshire,0,-13,56,69,1,0,0.72,0.7,0.18,0.42,0.64,1,14,9,0.583,30,0.4
12,brown,2012,Central Connecticut State,0,10,90,80,1,0,0.72,0.7,0.18,0.42,0.64,1,14,12,0.642,31,0.613
13,brown,2012,Maine,0,-13,58,71,1,0,0.72,0.7,0.18,0.42,0.64,1,14,9,0.583,30,0.5
14,brown,2012,St. Francis (NY),0,-17,49,66,0,0,0.72,0.7,0.18,0.42,0.64,1,1,12,0.642,30,0.5
15,brown,2012,American,0,-9,61,70,1,0,0.72,0.7,0.18,0.42,0.64,1,14,8,0.6,31,0.71
16,brown,2012,Longwood,0,-2,77,79,1,0,0.72,0.7,0.18,0.42,0.64,1,14,3,0.549,31,0.387
17,brown,2012,Yale,1,-4,64,68,0,0,0.72,0.7,0.18,0.42,0.64,2,1,8,0.6,28,0.536
18,brown,2012,Yale,1,-13,60,73,1,0,0.72,0.7,0.18,0.42,0.64,2,14,8,0.6,28,0.536
19,brown,2012,Bryant,0,7,67,60,0,0,0.72,0.7,0.18,0.42,0.64,1,1,12,0.642,30,0.3
20,brown,2012,Dartmouth,1,7,66,59,1,0,0.72,0.7,0.18,0.42,0.64,2,14,8,0.6,28,0.179
21,brown,2012,Harvard,1,-9,59,68,1,0,0.72,0.7,0.18,0.42,0.64,2,14,8,0.6,30,0.767
